Position,Counts
65,11
66,12
67,12
68,13
69,14
70,14
71,16
72,16
73,16
74,18
75,20
76,23
77,753
78,912
79,5106
80,5655
81,5662
82,5664
83,5666
84,5668
85,5704
86,7479
87,7537
88,8030
89,8031
90,8031
91,8031
92,8034
93,8034
94,8034
95,8034
96,8034
97,8034
98,8047
99,8047
100,8048
101,8048
102,8048
103,8052
104,8053
105,8061
106,8061
107,8061
108,8061
109,8061
110,8061
111,8061
112,8061
113,8061
114,8061
115,8065
116,8065
117,8086
118,8093
119,8094
120,8094
121,8094
122,8094
123,8094
124,8094
125,8094
126,8096
127,8096
128,8097
129,8097
130,8097
131,8097
132,8098
133,8098
134,8098
135,8098
136,8098
137,8098
138,8098
139,8098
140,8098
141,8098
142,8098
143,8098
144,8098
145,8098
146,8098
147,8098
148,8098
149,8098
150,8098
151,8098
152,8098
153,8098
154,8098
155,8098
156,8098
157,8098
158,8098
159,8098
160,8098
161,8098
162,8098
163,8098
164,8098
165,8098
166,8087
167,8086
168,8086
169,8085
170,8084
171,8084
172,8082
173,8082
174,8082
175,8080
176,8078
177,8075
178,7345
179,7186
180,2992
181,2443
182,2436
183,2434
184,2432
185,2430
186,2394
187,619
188,561
189,68
190,67
191,67
192,67
193,64
194,64
195,64
196,64
197,64
198,64
199,51
200,51
201,50
202,50
203,50
204,46
205,45
206,37
207,37
208,37
209,37
210,37
211,37
212,37
213,37
214,37
215,37
216,33
217,33
218,12
219,5
220,4
221,4
222,4
223,5
224,5
225,5
226,5
227,3
228,3
229,2
230,2
231,2
232,2
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,2
243,2
244,2
245,2
246,2
247,3
248,3
249,4
250,5
251,5
252,5
253,5
254,5
255,5
256,5
257,5
258,5
259,8
260,13
261,24
262,25
263,26
264,27
265,27
266,27
267,27
268,27
269,27
270,34
271,169
272,182
273,390
274,400
275,400
276,407
277,458
278,459
279,459
280,462
281,464
282,479
283,633
284,670
285,673
286,708
287,744
288,901
289,905
290,928
291,929
292,929
293,929
294,938
295,1320
296,1324
297,1824
298,1847
299,1868
300,1868
301,1868
302,1868
303,1868
304,1868
305,1879
306,1879
307,1879
308,1879
309,1879
310,1879
311,1880
312,1912
313,1920
314,1986
315,1992
316,2036
317,2063
318,2259
319,2319
320,2340
321,2349
322,2370
323,2378
324,2412
325,2426
326,2457
327,2468
328,2470
329,2482
330,2519
331,2528
332,2536
333,2536
334,2543
335,2547
336,2547
337,2570
338,2581
339,2584
340,2609
341,2614
342,2614
343,2614
344,2616
345,2618
346,2618
347,2618
348,2621
349,2622
350,2627
351,2627
352,2627
353,2628
354,2632
355,2632
356,2632
357,2640
358,2643
359,2644
360,2641
361,2636
362,2625
363,2625
364,2650
365,2650
366,2718
367,2723
368,2725
369,2725
370,2725
371,2718
372,2583
373,2571
374,2368
375,2359
376,2359
377,2352
378,2301
379,2300
380,2300
381,2298
382,2296
383,2281
384,2127
385,2090
386,2087
387,2053
388,2017
389,1860
390,1856
391,1833
392,1842
393,1842
394,1843
395,1981
396,1600
397,1799
398,1305
399,1282
400,1261
401,1262
402,1264
403,1264
404,1264
405,1296
406,1291
407,1293
408,1294
409,1299
410,1302
411,1304
412,1324
413,1301
414,1369
415,1310
416,1336
417,1301
418,1274
419,1079
420,1023
421,1013
422,1011
423,1010
424,1002
425,1149
426,1150
427,1124
428,1115
429,1130
430,1118
431,1081
432,1078
433,1072
434,1099
435,1096
436,2533
437,2567
438,2554
439,2599
440,2617
441,2592
442,2587
443,2590
444,2592
445,2591
446,2589
447,2590
448,2591
449,2587
450,2586
451,2581
452,2580
453,2580
454,2579
455,2575
456,2575
457,2575
458,2567
459,2564
460,2563
461,2563
462,2564
463,2569
464,2570
465,2548
466,2547
467,2479
468,2474
469,2472
470,2472
471,2472
472,2472
473,2472
474,2471
475,2466
476,2467
477,2467
478,2467
479,2467
480,2467
481,2467
482,2466
483,2466
484,2466
485,2466
486,2466
487,2466
488,2465
489,2465
490,2465
491,2465
492,2465
493,2455
494,2455
495,2454
496,2307
497,2306
498,2103
499,2097
500,2097
501,2097
502,2096
503,2094
504,2094
505,2094
506,2062
507,2056
508,2054
509,2053
510,2048
511,2045
512,2043
513,2022
514,2013
515,1937
516,1930
517,1898
518,1889
519,1889
520,1888
521,1884
522,1873
523,1866
524,1846
525,1846
526,1664
527,1649
528,1644
529,1642
530,1625
531,1625
532,1625
533,1619
534,1617
535,1590
536,1586
537,145
538,111
539,101
540,45
541,24
542,24
543,24
544,21
545,18
546,17
